Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1607539800978120704,"@FriscaCal DMs are now open (&amp; pluralistic!) ⚡️

Please also consider joining our Zulip space 🛸
https://t.co/oPO9f403oa",Plurigrid 🛸,plurigrid,2022-12-27T00:52:09.000Z,Tue Dec 27 00:52:09 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,https://plurigrid.zulipchat.com/join/5vffrr3jwddnywzopwyagkud/ ,0,1,,,,,
1607293194261127168,"RT @penumbrazone : Looking for a holiday longread? Check out our Winter 2022 Update for details on:

- shielded swaps
- transaction views and perspectives
- our new state model
- the Penumbra DEX engine
- web interfaces
- sharded custody
- personal rollups

https://t.co/gvAk7BKF9T",Plurigrid 🛸,plurigrid,2022-12-26T08:32:14.000Z,Mon Dec 26 08:32:14 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://penumbra.zone/blog/2022-winter-update ,0,0,,,,,
1606243582586896384,"Foundation ☯️⚡️ #ImpactDAOs #DeSci
https://t.co/oPO9f3ZvyC",Plurigrid 🛸,plurigrid,2022-12-23T11:01:27.000Z,Fri Dec 23 11:01:27 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://plurigrid.zulipchat.com/join/5vffrr3jwddnywzopwyagkud/ ,2,0,,,,,
1606243075424227330,If you are interested in our upcoming testnet or simply want to join the Plurigrid Foundation (digital public goods Commons)... https://t.co/jV75eooxq2,Plurigrid 🛸,plurigrid,2022-12-23T10:59:26.000Z,Fri Dec 23 10:59:26 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,https://forms.gle/TRcPvnANB5RyRtdp8 ,0,0,,,,,
1606237843650621440,"RT @bmorphism : If you would like to participate in @Plurigrid's upcoming testnet, and are willing to install @realwasmedge to run client-side / edge simulations, please fill out this form:

https://t.co/Kz5z0gIDmJ https://t.co/HASnV2G69I",Plurigrid 🛸,plurigrid,2022-12-23T10:38:39.000Z,Fri Dec 23 10:38:39 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://forms.gle/TRcPvnANB5RyRtdp8 https://twitter.com/plurigrid/status/1605862856762593280 ,0,2,,,,,
1606141221021175808,few https://t.co/KUAPWI0QdF,Plurigrid 🛸,plurigrid,2022-12-23T04:14:42.000Z,Fri Dec 23 04:14:42 +0000 2022,3,1,qst,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/aidanshandle/status/1606092714243543041 ,0,0,,,,,
1605949307340918786,"RT @CosmWasm : 📢 CosmWasm Community Call #42!

A few days ago, we held our last CC for 2022. Here's what we discussed:

⚜️Academy 2nd Cohort
⚜️Wasmd 0.30 / authz
⚜️Sylvia released
⚜️2022 Recap
⚜️ #AwesomWasm
⚜️Looking forward at 2023
⚜️Dev Notes Series
⚜️Open Q&amp;A

https://t.co/OEooWJki5F",Plurigrid 🛸,plurigrid,2022-12-22T15:32:06.000Z,Thu Dec 22 15:32:06 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://vimeo.com/783663571 ,1,0,,,,,
1605947533674418176,"RT @GovNuclear : NUCLEAR 101: Advanced light-water small modular reactors are simply smaller, manufactured versions of large-scale reactors. 

They can be scaled up or down to meet clean energy demands and help power areas where larger plants are not needed. 

Learn more: https://t.co/ruQctoImpl https://t.co/UHYjwExhpU",Plurigrid 🛸,plurigrid,2022-12-22T15:25:03.000Z,Thu Dec 22 15:25:03 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://bit.ly/2tD3lLh ,0,0,photo,https://pbs.twimg.com/media/FkhPrUCWAAMOQIB.jpg,,,
1605946696386727936,"@BogumilKaminski A huge number of electricity grid packages (GenX, NREL SIIP etc) are now in @JuliaLanguage and we will be recommending @ManningBooks  ""Julia for Data Analysis"" to every new energy data scientist starting on our team! ⚡️📚

https://t.co/00Dlwau33S

Example:
https://t.co/FuXc6iof8X https://t.co/ovVGW0KKei",Plurigrid 🛸,plurigrid,2022-12-22T15:21:44.000Z,Thu Dec 22 15:21:44 +0000 2022,3,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,https://www.manning.com/books/julia-for-data-analysis https://nrel-siip.github.io/PowerSimulationsDynamics.jl/stable/component_models/network/ ,0,3,photo,https://pbs.twimg.com/media/Fkl31O9XEAQnPIs.jpg,,,
1605919382160318464,"RT @ricburton : South Africa has rolling blackouts ⚡️

It really makes you appreciate electricity 💡 https://t.co/X2jGOF4iU5",Plurigrid 🛸,plurigrid,2022-12-22T13:33:11.000Z,Thu Dec 22 13:33:11 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FkkkIfRWIAIrgdw.jpg,,,
1605914141272653824,"RT @interchain_io : 2022 has been a year of explosive growth for the Interchain, fueled by the #IBC protocol.

In this blog post, we summarize IBC’s major developments and updates, as well as discussing the key priorities for 2023.

Read the blog post here: https://t.co/RrUNJo8P3c https://t.co/Hg9LKdl5Zn",Plurigrid 🛸,plurigrid,2022-12-22T13:12:22.000Z,Thu Dec 22 13:12:22 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://medium.com/the-interchain-foundation/ibc-protocol-a-review-of-the-major-developments-of-2022-cff533cf6490 ,1,0,photo,https://pbs.twimg.com/media/FklZdf0XkAAt7St.jpg,,,
